k              a           b           x_k         f_x_k       e_k         
    0.000000   -1.000000    0.000000   -1.000000  105.000000    0.428571
    1.000000   -1.000000   -0.500000   -0.500000   -8.500000    0.071429
    2.000000   -0.750000   -0.500000   -0.750000   31.367188    0.178571
    3.000000   -0.625000   -0.500000   -0.625000    7.820801    0.053571
    4.000000   -0.625000   -0.562500   -0.562500   -1.180267    0.008929
    5.000000   -0.593750   -0.562500   -0.593750    3.102884    0.022321
    6.000000   -0.578125   -0.562500   -0.578125    0.907902    0.006696
    7.000000   -0.578125   -0.570312   -0.570312   -0.149420    0.001117
    8.000000   -0.574219   -0.570312   -0.574219    0.375918    0.002789
    9.000000   -0.572266   -0.570312   -0.572266    0.112420    0.000836
   10.000000   -0.572266   -0.571289   -0.571289   -0.018707    0.000140
   11.000000   -0.571777   -0.571289   -0.571777    0.046805    0.000348
   12.000000   -0.571533   -0.571289   -0.571533    0.014036    0.000104
   13.000000   -0.571533   -0.571411   -0.571411   -0.002339    0.000018
   14.000000   -0.571472   -0.571411   -0.571472    0.005848    0.000043
   15.000000   -0.571442   -0.571411   -0.571442    0.001754    0.000012
   16.000000   -0.571442   -0.571426   -0.571426   -0.000292    0.000003
   17.000000   -0.571434   -0.571426   -0.571434    0.000731    0.000005
   18.000000   -0.571430   -0.571426   -0.571430    0.000219    0.000001
   19.000000   -0.571430   -0.571428   -0.571428   -0.000037    0.000001
   20.000000    0.000000    0.000000   -0.571429    0.000091    0.000000
