k              x_k         f_x_k       e_k         
    0.000000   -1.000000  105.000000    1.166667
    1.000000    0.000000  -16.000000    0.166667
    2.000000   -0.132231  -22.150637    0.298898
    3.000000    0.343981   28.075607    0.177314
    4.000000    0.077786   -9.708660    0.088880
    5.000000    0.146185   -2.482429    0.020482
    6.000000    0.169682    0.378146    0.003015
    7.000000    0.166576   -0.011320    0.000091
    8.000000    0.166666   -0.000049    0.000000
    9.000000    0.166667    0.000000    0.000000
